Uuid,Void/Retire,Name,Description,View privilege,Edit privilege
240b26f9-dd88-4172-823d-4a8bfeb7841f,,Clinician,"Doctor or Nurse who is the primary provider for an encounter, and will sign the note",,
a0b03050-c99b-11e0-9572-0800200c9a66,,Unknown,Unknown encounter role for legacy providers with no encounter role set,,
05add044-67f8-48c9-928d-79002ab19efe,,Intake A,Encounter for intake A,,
0b35fbcb-a2d3-4b68-af76-4c86d7b10cbf,,ARV Dispensing,ARV Dispensing,,
0e8230ce-bd1d-43f5-a863-cf44344fa4b0,,Adult Visit,Encounter for adult visit form,,
136b2ded-22a3-4831-a39a-088d35a50ef5,,Follow Up,Encounter for followup,,
181820aa-88c9-479b-9077-af92f5364329,,Discharge,"Indicates that a patient's inpatient care at the hospital is ending, and they are expected to leave soon.",,
25a042b2-60bc-4940-a909-debd098b7d82,,Check Out,The patient is explicitly leaving the hospital/clinic. (Usually no formal encounter is captured for this.),,
30696760-38a0-4da6-b72a-25de36500851,,Tuberculosis,,,
32741f82-0fec-4432-bcf1-e269ff4af5a0,,Preventive Therapies,Preventive Therapies,,
5021b1a1-e7f6-44b4-ba02-da2f2bcf8718,,Attachment Upload,Encounters used to record uploads of attachments.,,
5eaea9db-629c-4371-b01b-d8a9b21a90fe,,Cervical Cancer,Cervical Cancer,,
67a71486-1a54-468f-ac3e-7091a9a79584,,Vitals,For capturing vital signs,,
7b68d557-85ef-4fc8-b767-4fa4f5eb5c23,,Intra-Hospital Transfer,Indicates that a patient is being transferred into a different department within the hospital. (Transfers out of the hospital should not use this encounter type.),,
98ba58eb-fb2b-4a35-9e2b-74e827bf699b,,HIV Prevention,HIV Prevention,,
b7510b3b-bd8b-4fc1-bd1c-2425fc86540e,,OI & Pain Management,OI & Pain Management,,
ca3aed11-1aa4-42a1-b85c-8332fc8001fc,,Check In,Indicates the patient has done the required paperwork and check-in to begin a visit to the clinic/hospital.,,
d384d248-04f8-42d3-9c49-3c44ab50f1d8,,Family Information,Encounter for family information,,
d7151f82-c1f3-4152-a605-2f9ea7414a79,,Visit Note,"Encounter where a full or abbreviated examination is done, usually leading to a presumptive or confirmed diagnosis, recorded by the examining clinician.",,
dc94a223-66bc-45b7-8e34-d13b8686f239,,Intake B,Encounter for intake B,,
e22e39fd-7db2-45e7-80f1-60fa0d5a4378,,Admission,"Indicates that the patient has been admitted for inpatient care, and is not expected to leave the hospital unless discharged.",,
ea65272c-9d7e-4ea3-99c9-b1bb1300496b,,Lab Results,Lab Results,,
f1b397c1-46bd-43e6-a23d-ae2cedaec881,,PHDP,Encounter for PHDP,,
f7891a72-338b-4ed1-87cb-dedd0c8adfea,,General Information,General Information,,
